,Customer_ID,Age,Annual_Income,Monthly_Income,Monthly_Spending,Savings,Checking_Balance,Credit_Score,Credit_Card_Spending,Loan_Amount,Number_of_Loans,Investment_Amount,Debt_to_Income_Ratio,Transaction_Frequency,Financial_Risk_Score,Behavior_Segment,Cluster,Behaviour
16,17,46,555480.29,46290.02,16358.17,123867.35,295407.84,656,5208.89,277716.32,1,70262.63,0.182,34,53.62,Middle_Class,1,Premium
17,18,29,542434.36,45202.86,16187.04,125073.38,159199.1,750,7831.36,55294.29,1,98184.75,0.171,60,39.13,Middle_Class,1,Premium
18,19,40,694466.66,57872.22,24861.36,147247.38,242119.15,700,9020.55,222887.38,2,130792.12,0.27,66,48.11,Middle_Class,1,Premium
19,20,43,436469.7,36372.48,19463.12,137831.01,266104.63,676,5396.15,98655.51,1,62355.79,0.186,35,49.73,Middle_Class,1,Premium
20,21,46,2230443.08,185870.26,75556.71,861052.6,23497.04,778,18027.11,325887.84,2,539758.91,0.116,53,10.09,High_Income,0,Normal
21,22,33,358023.18,29835.26,17394.79,43564.82,238099.19,640,6190.35,176398.95,0,17435.34,0.276,28,67.67,Young_Budget,1,Premium
22,23,34,769762.28,64146.86,26173.1,209905.78,111636.36,656,8858.3,200126.7,0,55456.8,0.379,38,42.51,Middle_Class,1,Premium
23,24,33,889879.07,74156.59,40416.36,288938.96,136296.46,714,12399.23,53614.34,1,71357.23,0.221,38,54.63,Middle_Class,1,Premium
24,25,30,926465.6,77205.47,38902.23,168006.99,247377.35,762,16937.22,319742.78,0,154364.77,0.246,38,41.41,Middle_Class,1,Premium
25,26,43,1773206.95,147767.25,33233.01,1048284.52,246064.85,786,9595.46,128046.8,0,951509.61,0.188,115,17.83,Investor,0,Normal
26,27,32,286561.89,23880.16,12814.29,15155.5,197456.5,736,6487.92,35680.46,0,14281.53,0.274,21,71.25,Young_Budget,1,Premium
27,28,35,550229.75,45852.48,19930.48,151442.98,181271.0,662,6411.62,486162.11,1,80747.03,0.249,42,38.08,Middle_Class,1,Premium
28,29,52,1895094.5,157924.54,57260.27,924021.3,172197.54,785,12488.79,365734.57,0,546659.1,0.177,62,20.46,High_Income,0,Normal
29,30,23,337253.95,28104.5,17886.67,27247.0,146861.84,570,6675.78,86527.75,2,10375.1,0.467,30,74.25,Young_Budget,1,Premium
30,31,36,2297868.07,191489.01,62756.92,823192.59,206353.77,811,14812.76,840475.01,2,433157.51,0.153,46,19.86,High_Income,0,Normal
31,32,29,224964.66,18747.06,12563.1,22291.2,15942.69,683,4678.93,67377.66,0,11407.31,0.25,27,68.83,Young_Budget,1,Premium
32,33,28,262304.04,21858.67,11806.59,44532.51,154631.81,565,5088.75,143024.95,2,15731.43,0.331,31,64.8,Young_Budget,1,Premium
33,34,43,348180.61,29015.05,21620.4,6062.1,187528.2,636,16055.53,317424.61,3,445.31,0.769,25,78.44,High_Risk,1,Premium
34,35,39,801787.63,66815.64,50906.64,51414.29,141369.45,594,41534.29,389893.42,0,21320.48,0.475,18,85.79,High_Risk,1,Premium
35,36,45,1379457.6,114954.8,41566.09,483002.9,214721.62,797,13493.19,546181.53,0,591675.56,0.175,119,23.49,Investor,0,Normal
36,37,35,732347.22,61028.94,26797.3,214441.69,36192.38,727,12511.37,69407.5,2,69834.83,0.349,45,39.92,Middle_Class,1,Premium
37,38,29,448183.82,37348.65,24512.87,26873.8,56192.08,666,8400.93,77780.17,0,25149.85,0.387,23,63.9,Young_Budget,1,Premium
38,39,48,2377320.0,198110.0,72642.43,1040069.77,299195.89,743,23788.4,194340.38,3,926115.42,0.118,77,23.03,High_Income,0,Normal
39,40,47,667720.55,55643.38,29808.4,178989.05,271533.11,760,12146.98,430438.64,0,68868.6,0.376,67,59.29,Middle_Class,1,Premium
40,41,26,322939.47,26911.62,18776.25,39024.7,149743.28,705,8232.62,132443.73,0,4925.33,0.469,42,81.33,Young_Budget,1,Premium
41,42,31,510071.35,42505.95,17036.56,164215.31,274264.28,781,7241.34,296482.96,1,61763.5,0.198,33,49.84,Middle_Class,1,Premium
42,43,22,389055.82,32421.32,14785.5,37330.56,279432.14,646,6898.15,222714.24,0,29231.1,0.378,42,70.34,Young_Budget,1,Premium
43,44,42,416584.84,34715.4,24361.89,27215.23,116810.01,531,20978.28,875489.5,3,10928.86,0.672,24,80.5,High_Risk,1,Premium
44,45,47,689904.15,57492.01,28804.58,207083.2,295256.33,739,9113.37,307341.36,3,42169.61,0.373,43,43.76,Middle_Class,1,Premium
45,46,61,1893546.04,157795.5,51515.96,915793.69,132579.21,819,15868.42,584937.43,2,306739.1,0.276,41,27.8,High_Income,0,Normal
46,47,34,613268.19,51105.68,27176.85,118363.53,285706.7,730,8184.27,131678.58,0,101661.97,0.369,44,47.02,Middle_Class,1,Premium
47,48,33,792019.02,66001.59,26365.67,234698.35,75145.25,719,9488.0,184031.31,1,134487.29,0.211,66,33.85,Middle_Class,1,Premium
48,49,43,723645.18,60303.77,32779.44,177711.43,116974.94,727,14155.78,216819.8,0,84276.72,0.191,31,31.95,Middle_Class,1,Premium
49,50,23,403226.76,33602.23,20683.73,27188.42,285384.62,749,9075.08,71803.14,3,12080.4,0.259,29,65.97,Young_Budget,1,Premium
50,51,25,624509.36,52042.45,34240.77,47351.46,149807.12,565,24303.41,887589.26,1,18856.37,0.508,34,96.41,High_Risk,1,Premium
51,52,53,860381.23,71698.44,17138.43,300806.72,85832.94,798,5900.6,160291.03,1,457588.9,0.229,90,17.89,Investor,0,Normal
52,53,34,857066.74,71422.23,46704.89,58441.8,85550.06,632,26764.73,737840.59,2,17478.16,0.732,54,81.31,High_Risk,1,Premium
53,54,46,777043.71,64753.64,19198.83,372363.07,57602.84,827,5147.5,488819.33,1,299607.47,0.081,64,25.16,Investor,0,Normal
54,55,46,2140869.67,178405.81,69819.66,921876.37,247606.79,790,15448.36,297992.01,0,704414.44,0.169,48,18.47,High_Income,0,Normal
55,56,35,312036.85,26003.07,21712.83,10209.47,166420.0,622,11017.6,704485.64,4,10264.2,0.476,53,82.52,High_Risk,1,Premium
56,57,24,451306.42,37608.87,18033.25,78970.24,40959.34,682,8591.13,144335.43,2,18089.34,0.348,32,67.24,Young_Budget,1,Premium
57,58,29,354862.83,29571.9,13496.85,66966.92,241030.45,737,6923.34,131064.48,0,6569.79,0.309,35,71.47,Young_Budget,1,Premium
58,59,29,425435.09,35452.92,21722.71,51599.74,205763.52,658,11157.91,117842.03,1,8090.46,0.457,21,75.31,Young_Budget,1,Premium
59,60,42,700219.43,58351.62,24799.02,192680.56,43645.04,696,11119.83,176265.6,2,120514.79,0.302,58,43.81,Middle_Class,1,Premium
60,61,51,569883.1,47490.26,25830.2,89891.65,224480.08,720,11323.34,286296.08,1,81678.52,0.296,36,52.33,Middle_Class,1,Premium
61,62,30,979607.28,81633.94,30208.34,329571.57,77990.17,645,10380.62,86350.65,1,124457.05,0.324,43,49.35,Middle_Class,1,Premium
62,63,42,1845465.14,153788.76,35460.22,590273.16,186539.91,761,7233.34,89497.67,0,933350.08,0.18,101,21.41,Investor,0,Normal
63,64,32,765518.48,63793.21,34185.83,138347.34,153599.76,685,10084.97,245122.72,1,67432.18,0.305,68,33.19,Middle_Class,1,Premium
64,65,45,621402.6,51783.55,28180.37,177538.63,260450.67,795,7116.06,266458.45,1,117122.79,0.351,59,56.19,Middle_Class,1,Premium
65,66,50,804408.89,67034.07,29104.1,276596.87,108453.24,661,7684.06,316143.57,2,69517.2,0.231,47,39.6,Middle_Class,1,Premium
66,67,23,311663.73,25971.98,17569.24,61476.5,213694.88,697,6808.39,65138.99,1,3828.38,0.484,15,67.11,Young_Budget,1,Premium
67,68,63,1245219.88,103768.32,31621.79,554884.56,50744.22,821,7541.05,624018.55,0,448034.41,0.178,104,23.04,Investor,0,Normal
68,69,21,445688.37,37140.7,20874.27,84961.08,210067.73,688,10106.57,114481.14,1,22932.14,0.464,43,67.01,Young_Budget,1,Premium
69,70,28,536449.64,44704.14,30792.44,44055.12,164578.86,532,16261.33,697821.26,3,20195.8,0.657,48,89.1,High_Risk,1,Premium
70,71,57,1536962.06,128080.17,31311.84,712283.54,259589.05,850,5797.27,608783.14,2,609050.57,0.229,128,16.66,Investor,0,Normal
71,72,34,390842.83,32570.24,17896.36,75414.07,37101.63,659,8513.22,10501.44,1,16502.51,0.37,15,68.98,Young_Budget,1,Premium
72,73,27,417863.85,34821.99,23898.24,59034.01,143731.12,679,8690.76,231036.99,1,24526.44,0.477,38,83.27,Young_Budget,1,Premium
73,74,66,907533.01,75627.75,17649.07,278545.15,41363.72,757,3235.87,458235.05,2,489842.48,0.239,54,14.31,Investor,1,Premium
74,75,41,1847206.39,153933.87,54872.74,585410.53,225556.76,738,23480.0,431436.51,0,415726.32,0.206,75,23.7,High_Income,0,Normal
75,76,47,1372088.38,114340.7,42718.54,589463.4,146457.96,751,12730.44,914436.57,2,532646.03,0.259,53,18.31,High_Income,0,Normal
76,77,53,1708371.77,142364.31,49296.35,1019556.25,16992.43,814,10753.35,612492.65,1,1014174.59,0.098,116,20.85,Investor,0,Normal
77,78,22,450100.05,37508.34,18843.12,24557.28,116798.39,712,7695.64,142377.97,2,28251.09,0.332,18,83.7,Young_Budget,1,Premium
78,79,48,816396.63,68033.05,29242.53,195599.23,139626.02,738,13534.05,399044.59,0,80493.78,0.32,30,41.47,Middle_Class,1,Premium
79,80,30,373908.68,31159.06,21702.08,61714.33,236806.1,679,11621.33,54047.14,1,21295.3,0.341,26,55.43,Young_Budget,1,Premium
80,81,50,1575563.64,131296.97,37644.03,585918.19,13452.3,782,11494.46,124938.85,1,1077137.82,0.092,64,27.55,Investor,0,Normal
81,82,44,1960067.84,163338.99,42849.71,592305.98,219902.81,740,13774.26,177376.36,5,588127.48,0.295,48,10.77,High_Income,0,Normal
82,83,36,850730.84,70894.24,30237.65,183048.36,252221.21,788,9355.64,290956.24,4,50560.1,0.306,52,37.96,Middle_Class,1,Premium
83,84,31,294399.94,24533.33,14182.92,42141.81,121294.44,695,7160.53,190347.17,1,11959.78,0.277,43,55.74,Young_Budget,1,Premium
84,85,48,815382.5,67948.54,27775.87,131586.67,129914.17,702,7308.47,242340.26,1,93013.66,0.175,47,57.46,Middle_Class,1,Premium
85,86,53,744389.99,62032.5,25024.67,177186.29,264098.98,725,11235.91,324362.11,0,107311.19,0.197,61,45.87,Middle_Class,1,Premium
86,87,52,2853032.31,237752.69,75764.81,1189974.97,271505.09,791,19474.92,385635.1,2,852828.87,0.294,80,32.43,High_Income,0,Normal
87,88,41,1862753.58,155229.46,50170.05,851834.95,69295.35,812,15048.91,130640.06,2,396250.7,0.219,83,26.85,High_Income,0,Normal
88,89,59,1959597.09,163299.76,57581.47,978438.95,268854.23,805,12176.15,606752.02,1,779616.04,0.21,100,22.36,Investor,0,Normal
89,90,35,624045.39,52003.78,24574.1,121761.23,99549.69,725,11701.3,263791.7,0,111062.48,0.214,65,55.03,Middle_Class,1,Premium
90,91,26,323321.82,26943.48,13456.05,42766.6,41366.5,586,4427.22,5776.71,0,24830.5,0.243,28,57.04,Young_Budget,1,Premium
91,92,39,2050750.83,170895.9,75017.68,912383.47,214993.13,789,26295.61,509464.29,2,604495.99,0.146,76,10.48,High_Income,0,Normal
92,93,32,1209533.32,100794.44,34045.38,698029.91,59267.14,819,7999.19,352025.85,1,648460.81,0.206,65,14.96,Investor,0,Normal
93,94,56,2151563.74,179296.98,62520.45,599978.37,48682.7,806,19349.0,858230.23,2,841443.11,0.181,66,29.98,High_Income,0,Normal
94,95,44,1345869.86,112155.82,30525.82,410813.91,177551.29,798,6046.96,526730.41,1,704105.7,0.123,75,10.47,Investor,0,Normal
95,96,37,653913.07,54492.76,29072.15,156955.39,15378.98,768,12677.67,260135.33,0,52249.3,0.256,41,41.42,Middle_Class,1,Premium
96,97,53,676802.54,56400.21,20240.85,212181.99,46749.28,657,10069.28,233095.58,0,51077.54,0.313,46,49.02,Middle_Class,1,Premium
97,98,53,532783.92,44398.66,20383.32,95610.61,96114.08,761,7402.02,446538.8,2,41973.52,0.295,31,55.36,Middle_Class,1,Premium
98,99,30,291530.75,24294.23,11532.28,32764.41,84475.91,644,4340.12,231386.08,0,18381.03,0.359,29,77.88,Young_Budget,1,Premium
99,100,31,451706.68,37642.22,20374.28,29375.25,194102.49,655,9543.88,1939.91,1,24354.35,0.494,32,83.89,Young_Budget,1,Premium
100,101,22,405346.85,33778.9,16035.46,27387.7,259914.41,637,6010.68,239943.75,1,24067.45,0.325,38,55.53,Young_Budget,1,Premium
101,102,63,1433193.28,119432.77,42336.13,512639.32,191870.13,766,15326.91,427861.68,1,415968.76,0.129,78,12.03,High_Income,0,Normal
102,103,36,747275.23,62272.94,30306.2,151317.3,186861.93,714,12463.66,431857.58,2,129590.38,0.285,66,35.48,Middle_Class,1,Premium
103,104,34,756081.31,63006.78,23503.59,176592.1,130554.04,769,7421.56,81950.49,3,102855.56,0.386,53,38.81,Middle_Class,1,Premium
104,105,34,549936.42,45828.04,35351.6,11024.78,190148.04,585,24160.77,703045.6,4,3004.35,0.83,50,87.57,High_Risk,1,Premium
105,106,50,859952.78,71662.73,30550.89,256272.11,157098.89,730,12431.92,219041.93,0,134495.39,0.364,60,51.26,Middle_Class,1,Premium
106,107,29,568250.91,47354.24,19762.57,113927.77,123958.05,769,7789.0,483729.28,0,36531.64,0.18,69,33.78,Middle_Class,1,Premium
107,108,33,1633640.16,136136.68,47473.29,656269.59,284064.66,850,12485.82,71377.86,0,792155.54,0.131,74,17.73,Investor,0,Normal
108,109,26,365603.81,30466.98,19133.68,64454.42,107843.92,698,7958.82,190265.1,1,12297.42,0.347,29,65.07,Young_Budget,1,Premium
109,110,33,334553.43,27879.45,18179.95,29946.06,116235.27,697,5471.84,123864.8,0,21012.07,0.283,21,76.73,Young_Budget,1,Premium
110,111,30,714822.88,59568.57,24489.39,178065.9,237488.05,742,9193.5,60479.19,1,90432.51,0.211,38,31.34,Middle_Class,1,Premium
111,112,28,394690.79,32890.9,17439.42,48125.11,121661.96,652,8770.78,189728.06,0,8121.31,0.41,20,74.69,Young_Budget,1,Premium
112,113,33,726370.36,60530.86,43764.09,18187.59,99030.05,561,22466.62,500715.86,2,35222.45,0.46,33,98.22,High_Risk,1,Premium
113,114,61,1456080.63,121340.05,30918.76,465301.98,179288.71,772,5023.7,80889.69,0,879797.76,0.163,85,16.25,Investor,0,Normal
114,115,42,1901762.75,158480.23,67660.99,627414.37,267110.11,802,19978.76,652340.96,2,754134.66,0.264,95,32.14,High_Income,0,Normal
115,116,39,1303137.14,108594.76,30471.1,397406.18,58870.97,781,10777.57,251435.38,1,482159.09,0.231,99,6.36,Investor,0,Normal
116,117,56,892070.8,74339.23,27629.75,534870.87,18260.31,777,8493.67,556598.51,1,472537.17,0.222,100,6.93,Investor,0,Normal
117,118,33,317083.31,26423.61,17872.2,17608.9,227089.46,625,6343.74,77392.34,1,8015.51,0.249,40,60.95,Young_Budget,1,Premium
118,119,50,1381535.71,115127.98,24379.41,716712.99,23031.28,816,5661.17,457442.25,0,729861.86,0.211,75,27.13,Investor,0,Normal
119,120,46,553112.15,46092.68,19318.19,99381.57,121342.37,720,7901.33,477272.94,2,98697.41,0.179,38,46.83,Middle_Class,1,Premium
120,121,42,1145485.29,95457.11,32367.73,430499.49,46846.32,796,7375.03,84756.91,2,604556.29,0.15,76,23.63,Investor,0,Normal
121,122,35,1396551.65,116379.3,32757.39,711774.65,103476.66,773,12318.16,563673.66,0,909955.75,0.222,126,12.32,Investor,0,Normal
122,123,46,448805.79,37400.48,20528.61,70759.39,223657.56,748,5964.96,451644.06,0,82141.83,0.329,68,55.74,Middle_Class,1,Premium
123,124,21,404310.78,33692.56,22469.94,40389.49,193874.65,656,7216.37,236064.26,1,27153.63,0.461,22,67.95,Young_Budget,1,Premium
124,125,21,398778.32,33231.53,22895.37,50703.92,168213.14,664,11439.07,241127.39,0,4497.72,0.461,44,58.82,Young_Budget,1,Premium
125,126,53,504206.14,42017.18,17271.19,173980.77,247281.48,701,7359.28,370486.28,0,80579.58,0.335,54,49.25,Middle_Class,1,Premium
126,127,46,1819212.51,151601.04,48129.52,791131.82,162946.66,822,16352.63,47548.07,3,747928.83,0.193,53,19.45,Investor,0,Normal
127,128,56,1229973.29,102497.77,31068.04,579208.43,64661.53,784,6381.32,529635.95,0,822670.75,0.192,85,27.74,Investor,0,Normal
128,129,33,272261.31,22688.44,15518.64,20340.96,85726.79,593,4819.12,113513.83,3,4629.67,0.377,15,80.31,Young_Budget,1,Premium
129,130,35,704659.51,58721.63,30966.67,200216.78,271680.36,714,15344.29,78365.14,2,138133.69,0.222,56,58.62,Middle_Class,1,Premium
130,131,45,713091.62,59424.3,25038.98,219948.41,184576.46,684,11005.44,459775.63,0,122199.29,0.385,56,59.66,Middle_Class,1,Premium
131,132,28,353650.35,29470.86,17901.14,70035.87,212997.05,642,7151.7,82976.57,3,14099.04,0.39,31,58.59,Young_Budget,1,Premium
132,133,24,302806.77,25233.9,12893.51,28670.18,143552.93,665,5674.37,99489.32,1,5655.14,0.35,31,62.22,Young_Budget,1,Premium
133,134,31,746886.49,62240.54,23298.11,121749.36,39548.29,743,11502.7,356527.65,1,122078.42,0.345,46,36.83,Middle_Class,1,Premium
134,135,36,579434.94,48286.24,43909.69,37906.56,38546.89,629,24243.92,324617.38,0,16429.3,0.547,47,80.77,High_Risk,1,Premium
135,136,31,742609.78,61884.15,27234.48,159442.76,130660.37,703,12641.25,317125.95,3,86143.44,0.245,29,53.77,Middle_Class,1,Premium
136,137,37,566012.58,47167.72,17725.04,112026.32,48155.51,719,8240.05,466075.64,1,51431.85,0.287,46,59.8,Middle_Class,1,Premium
137,138,50,1618422.04,134868.5,36089.54,689840.39,141374.28,813,10467.16,140918.16,0,298281.18,0.218,98,23.7,High_Income,0,Normal
138,139,39,659781.59,54981.8,27510.68,111501.33,244175.73,705,9083.78,224219.93,1,118160.73,0.262,29,50.86,Middle_Class,1,Premium
139,140,52,325010.8,27084.23,19963.92,20486.88,19029.36,594,12183.47,363895.79,2,2528.43,0.834,22,85.15,High_Risk,1,Premium
140,141,30,431306.4,35942.2,33372.55,16616.11,105449.64,631,25420.62,302021.17,4,18757.78,0.63,22,99.0,High_Risk,1,Premium
141,142,42,765575.41,63797.95,25690.7,146276.94,27529.61,709,8119.83,459479.78,2,115878.86,0.352,68,43.18,Middle_Class,1,Premium
142,143,29,449321.9,37443.49,15421.24,112546.02,67069.14,793,5161.03,390655.34,2,38524.57,0.363,56,36.27,Middle_Class,1,Premium
143,144,48,915513.87,76292.82,27070.72,249095.18,229528.48,713,11712.63,497023.75,1,60632.59,0.31,27,49.51,Middle_Class,1,Premium
144,145,36,317652.84,26471.07,11405.72,62025.17,126405.16,729,2900.83,308709.76,0,25808.99,0.181,42,50.23,Middle_Class,1,Premium
145,146,28,317703.73,26475.31,14983.57,35665.97,204622.62,687,5053.57,239454.83,0,22643.71,0.257,32,68.24,Young_Budget,1,Premium
146,147,56,2539146.8,211595.57,55087.67,768751.02,104156.9,820,12041.21,360022.88,2,729529.42,0.155,45,29.31,High_Income,0,Normal
147,148,30,521658.83,43471.57,16755.76,169334.17,230090.27,735,7300.2,346729.59,1,102723.81,0.349,39,55.43,Middle_Class,1,Premium
148,149,21,387816.59,32318.05,22252.23,64374.23,230399.18,647,11862.7,176774.02,1,13255.34,0.426,24,78.67,Young_Budget,1,Premium
149,150,49,833343.53,69445.29,26448.44,180701.66,264837.54,701,10036.95,151899.69,2,141123.56,0.308,34,36.97,Middle_Class,1,Premium
150,151,52,346975.84,28914.65,25973.54,22249.16,210159.93,603,22969.49,685620.55,2,490.36,0.456,26,93.42,High_Risk,1,Premium
151,152,28,259200.76,21600.06,13356.35,36137.95,284485.7,648,4990.15,3414.97,0,9698.94,0.246,36,67.09,Young_Budget,1,Premium
152,153,34,294597.21,24549.77,14815.98,52770.68,252880.6,596,7234.69,138350.01,0,10473.99,0.464,44,73.44,Young_Budget,1,Premium
153,154,54,675742.85,56311.9,26528.87,166878.49,248026.91,722,7333.77,175064.9,2,41154.31,0.329,53,49.17,Middle_Class,1,Premium
154,155,47,645405.16,53783.76,50519.92,35646.39,152430.88,588,28808.98,678104.63,8,16828.57,0.795,19,86.07,High_Risk,1,Premium
155,156,42,780868.84,65072.4,27082.65,143519.34,88667.89,787,9930.63,95128.91,1,93581.51,0.267,64,46.51,Middle_Class,1,Premium
156,157,46,1547286.81,128940.57,40553.83,412952.62,36269.75,777,8444.4,644627.98,3,594147.73,0.119,55,33.18,High_Income,0,Normal
157,158,35,1471049.97,122587.5,24740.85,783785.21,164717.49,782,7735.13,148837.32,1,849492.41,0.135,103,19.03,Investor,0,Normal
158,159,32,319696.98,26641.41,16920.32,37395.49,32629.24,580,5365.89,42150.92,2,6948.15,0.451,34,56.23,Young_Budget,1,Premium
159,160,48,2050236.52,170853.04,65663.71,712029.01,236248.58,827,21140.65,990880.74,0,521711.48,0.158,43,24.95,High_Income,0,Normal
160,161,49,830655.29,69221.27,29823.22,228385.82,109905.54,711,14085.79,144421.96,3,160444.97,0.201,51,47.69,Middle_Class,1,Premium
161,162,61,1912380.85,159365.07,68169.58,634886.33,208420.8,790,20840.64,702532.67,0,678968.66,0.276,85,17.85,High_Income,0,Normal
162,163,49,1789467.67,149122.31,51012.56,853117.21,213178.01,787,21603.66,969487.36,1,555388.51,0.114,69,24.46,High_Income,0,Normal
163,164,48,782118.27,65176.52,33642.0,181265.9,239085.0,687,14237.14,140007.32,2,150014.16,0.366,57,34.68,Middle_Class,1,Premium
164,165,29,338639.35,28219.95,16558.48,65443.49,193600.98,660,7023.72,98394.46,1,14700.14,0.435,25,65.12,Young_Budget,1,Premium
165,166,38,1023522.33,85293.53,31227.38,416199.84,227769.23,808,6882.15,588622.28,0,469431.88,0.143,97,27.79,Investor,0,Normal
166,167,47,734629.66,61219.14,32456.77,156174.28,207743.15,784,12773.05,275339.87,1,59390.71,0.339,52,56.36,Middle_Class,1,Premium
167,168,21,381999.72,31833.31,19605.01,69023.89,194911.67,657,9937.2,90029.43,1,18139.95,0.269,43,70.99,Young_Budget,1,Premium
168,169,31,328530.3,27377.52,18972.91,23462.89,203045.38,666,6171.53,28052.88,1,11717.59,0.493,27,83.07,Young_Budget,1,Premium
169,170,61,1139422.3,94951.86,34304.57,432299.81,286918.02,841,14225.89,686620.09,0,188864.03,0.185,64,16.3,High_Income,0,Normal
170,171,49,1875799.12,156316.59,48580.1,593328.16,299509.01,789,11287.35,559907.95,0,570381.14,0.131,67,22.7,High_Income,0,Normal
171,172,27,258278.75,21523.23,13942.06,31041.84,59943.31,544,6160.77,197801.06,1,4134.77,0.419,28,63.67,Young_Budget,1,Premium
172,173,32,783954.86,65329.57,33075.84,185340.05,206550.54,761,13187.14,206914.91,1,92577.16,0.203,53,55.78,Middle_Class,1,Premium
173,174,26,256786.67,21398.89,11632.09,23319.47,156967.18,623,3746.44,207534.73,1,3732.15,0.422,38,72.11,Young_Budget,1,Premium
174,175,60,2074709.63,172892.47,71037.93,626087.63,158423.86,774,20173.24,220814.58,0,825823.5,0.231,92,30.53,High_Income,0,Normal
175,176,31,392464.13,32705.34,17789.74,77461.59,96128.52,602,8296.27,239137.23,0,27659.69,0.296,44,63.11,Young_Budget,1,Premium
176,177,41,2131626.13,177635.51,56548.83,780451.67,100887.61,797,23979.91,345315.82,4,496065.05,0.291,84,11.34,High_Income,0,Normal
177,178,40,512630.94,42719.24,19540.46,163980.82,207163.13,705,5126.86,450151.97,2,48413.11,0.254,37,48.17,Middle_Class,1,Premium
178,179,48,640594.3,53382.86,34172.57,63581.73,235940.21,451,21220.73,662743.28,4,13169.37,0.719,12,84.64,High_Risk,1,Premium
179,180,30,393509.73,32792.48,15829.45,58605.23,167076.04,637,6916.01,123658.99,0,17810.76,0.249,25,56.05,Young_Budget,1,Premium
180,181,46,668225.29,55685.44,28866.87,221436.02,133470.87,694,7735.52,335547.56,2,56834.97,0.272,55,41.63,Middle_Class,1,Premium
181,182,30,207008.57,17250.71,9805.67,34424.43,185056.91,648,4906.9,162381.53,1,7649.19,0.238,23,68.53,Young_Budget,1,Premium
182,183,57,446281.04,37190.09,23622.14,34112.1,114040.85,572,18483.12,891135.89,6,16132.4,0.618,45,81.01,High_Risk,1,Premium
183,184,30,1140946.02,95078.84,24471.46,452510.22,129450.27,804,7113.83,194937.72,0,417520.86,0.11,74,25.27,Investor,0,Normal
184,185,36,757131.12,63094.26,25525.7,137551.5,62154.89,722,6713.5,158431.85,1,65647.26,0.364,50,41.84,Middle_Class,1,Premium
185,186,58,1874334.02,156194.5,67920.14,705337.85,103164.0,795,17783.95,461213.2,3,717768.25,0.121,82,28.96,High_Income,0,Normal
186,187,46,1571903.49,130991.96,40832.12,650771.52,137704.17,766,14937.44,461869.32,1,1026871.53,0.108,110,8.2,Investor,0,Normal
187,188,42,716201.82,59683.48,31887.66,199049.21,188371.27,669,9350.44,357240.62,1,114670.79,0.279,33,51.66,Middle_Class,1,Premium
188,189,40,694509.6,57875.8,23253.21,208981.18,195719.08,680,10008.35,113398.3,1,117781.09,0.264,30,39.5,Middle_Class,1,Premium
